"gel.id","strain.id","strain.x","trt.x","lim.x","cID.x","tm.pt.x","tm.pt.y","mw.list","lpda.list","band.list","omean.list","olow.list","ohigh.list","rel.int.list"
"20150525-gel3","115-21P2S4","21P2S4","T","P","P2","21",21,59.57,16.23,3,"12",12.7,12,0.1214
"20150525-gel3","115-21P2S4","21P2S4","T","P","P2","21",21,19.74,16.23,11,"1",1,1,0.0871
"20150525-gel3","115-21P2S4","21P2S4","T","P","P2","21",21,25.91,16.23,9,"3",2.8,2.7,0.0122
"20150525-gel3","115-21P2S4","21P2S4","T","P","P2","21",21,70.04,16.23,1,"15",15.8,14.9,0.0684
"20150525-gel3","115-21P2S4","21P2S4","T","P","P2","21",21,65.93,16.23,2,"14",14.6,13.8,0.0822
"20150525-gel3","115-21P2S4","21P2S4","T","P","P2","21",21,55.83,16.23,4,"11",11.6,11,0.0573
"20150525-gel3","115-21P2S4","21P2S4","T","P","P2","21",21,43.87,16.23,7,"8",8.1,7.7,0.0178
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,64.43,16.88,2,"14",14,13.2,0.0574
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,66.67,16.88,1,"14",14.6,13.8,0.1359
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,50.97,16.88,6,"10",10,9.5,0.0443
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,24.46,16.88,11,"2",2.2,2.1,0.0315
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,58.07,16.88,4,"12",12.1,11.4,0.0706
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,61.07,16.88,3,"13",13,12.3,0.0724
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,42,16.88,8,"7",7.4,7,0.0327
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,29.18,16.88,9,"4",3.6,3.4,0.025
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,46.86,16.88,7,"9",8.8,8.3,0.0327
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,20.32,16.88,13,"1",1,1,0.055
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,22.63,16.88,12,"2",1.7,1.6,0.0137
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,54.71,16.88,5,"11",11.1,10.5,0.0591
"20150525-gel3","116-21P4S2","21P4S2","T","P","P4","21",21,26.59,16.88,10,"3",2.9,2.7,0.0489
"20150525-gel3","214-19P2S2","19P2S2","T","P","P2","19",19,19.16,15.77,9,"1",1,0.9,0.1179
"20150525-gel3","214-19P2S2","19P2S2","T","P","P2","19",19,51.35,15.77,2,"10",10.5,9.9,0.1793
"20150525-gel3","214-19P2S2","19P2S2","T","P","P2","19",19,21.18,15.77,8,"2",1.6,1.5,0.0304
"20150525-gel3","214-19P2S2","19P2S2","T","P","P2","19",19,56.58,15.77,1,"12",12,11.3,0.0431
"20150525-gel3","214-19P2S2","19P2S2","T","P","P2","19",19,25.43,15.77,7,"3",2.8,2.7,0.0213
"20150525-gel3","214-19P2S2","19P2S2","T","P","P2","19",19,40.22,15.77,5,"7",7.2,6.8,0.0283
"20150525-gel3","214-19P2S2","19P2S2","T","P","P2","19",19,43.12,15.77,4,"8",8,7.6,0.0389
"20150525-gel3","214-19P2S2","19P2S2","T","P","P2","19",19,47.61,15.77,3,"9",9.4,8.8,0.0691
