gel.date,gel,gel.id,lane,gellane.id,sample.type,batch,lps.sample
20160413,4,20160413-gel4,8,20160413-gel4-08,syn,2,47
20160413,4,20160413-gel4,9,20160413-gel4-09,syn,2,48
20160413,4,20160413-gel4,10,20160413-gel4-10,std,std,EcoliR
20160413,4,20160413-gel4,1,20160413-gel4-01,MW,MW,MW
20160420,1,20160420-gel1,2,20160420-gel1-02,syn,2,4
20160420,1,20160420-gel1,3,20160420-gel1-03,syn,2,50
20160420,1,20160420-gel1,4,20160420-gel1-04,syn,2,2
20160420,1,20160420-gel1,5,20160420-gel1-05,syn,2,42
20160420,1,20160420-gel1,6,20160420-gel1-06,syn,2,51
20160420,1,20160420-gel1,7,20160420-gel1-07,syn,2,26
20160420,1,20160420-gel1,8,20160420-gel1-08,syn,2,45
20160420,1,20160420-gel1,9,20160420-gel1-09,syn,2,27
20160420,1,20160420-gel1,10,20160420-gel1-10,std,std,EcoliR
20160420,2,20160420-gel2,1,20160420-gel2-01,MW,MW,MW
20160420,2,20160420-gel2,2,20160420-gel2-02,syn,2,1
20160420,2,20160420-gel2,3,20160420-gel2-03,syn,2,58
20160420,2,20160420-gel2,4,20160420-gel2-04,syn,2,3
20160420,2,20160420-gel2,5,20160420-gel2-05,syn,2,39
20160420,2,20160420-gel2,6,20160420-gel2-06,syn,2,8
20160420,2,20160420-gel2,7,20160420-gel2-07,syn,2,40
20160420,2,20160420-gel2,8,20160420-gel2-08,syn,2,34
20160420,2,20160420-gel2,9,20160420-gel2-09,syn,2,52
20160420,2,20160420-gel2,10,20160420-gel2-10,std,std,EcoliR
20160420,3,20160420-gel3,1,20160420-gel3-01,MW,MW,MW
20160420,3,20160420-gel3,2,20160420-gel3-02,syn,2,57
20160420,3,20160420-gel3,3,20160420-gel3-03,syn,2,5
20160420,3,20160420-gel3,4,20160420-gel3-04,syn,2,56
20160420,3,20160420-gel3,5,20160420-gel3-05,syn,2,7
20160420,3,20160420-gel3,6,20160420-gel3-06,syn,2,55
20160420,3,20160420-gel3,7,20160420-gel3-07,syn,2,22
20160420,3,20160420-gel3,8,20160420-gel3-08,syn,2,37
20160420,3,20160420-gel3,9,20160420-gel3-09,syn,2,49
20160420,3,20160420-gel3,10,20160420-gel3-10,std,std,EcoliR
20160425,1,20160425-gel1,1,20160425-gel1-01,MW,MW,MW
20160425,1,20160425-gel1,2,20160425-gel1-02,syn,2,31
20160425,1,20160425-gel1,3,20160425-gel1-03,syn,2,32
20160425,1,20160425-gel1,4,20160425-gel1-04,syn,1,1
20160425,1,20160425-gel1,5,20160425-gel1-05,syn,2,20
20160425,1,20160425-gel1,6,20160425-gel1-06,syn,2,25
20160425,1,20160425-gel1,7,20160425-gel1-07,syn,1,12
20160425,1,20160425-gel1,8,20160425-gel1-08,syn,2,21
20160425,1,20160425-gel1,9,20160425-gel1-09,syn,2,14
20160425,1,20160425-gel1,10,20160425-gel1-10,syn,1,18
20160425,1,20160425-gel1,11,20160425-gel1-11,std,std,EcoliR
