gel.id,gellane.id,strain,strain.id,trt,lim,cID,tm.pt,Band,MW,intensity,rel.int,
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,10,17.03,114538,0.2519,lpdaC
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,11,15.81,31330.5,0.0689,lpda
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,12,8.129,34279.5,0.0754,lpda
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,13,7.226,16409,0.0361,lpda
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,1,60.46,NA,NA,oant
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,2,48.15,3282.95,0.0033,oant
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,3,40.41,26359.24,0.0263,oant
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,4,38.51,139616.88,0.1392,oant
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,5,36.45,124184.27,0.1238,oant
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,6,28.78,15692.82,0.0156,oant
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,7,26.71,33090.36,0.033,oant
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,8,22.72,35158,0.0351,oant
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,9,20.66,229278,0.2286,oant
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,10,17.42,260206,0.2595,lpdaC
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,11,16.39,64669,0.0645,lpda
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,12,8.129,50135.34,0.05,lpda
20150114-gel1,20150114-gel1-09,21N2S5,106-21N2S5,T,N,N2,21,13,7.29,23917.36,0.0238,lpda
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,1,65.38,158308,0.0928,oant
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,2,41.68,60604.99,0.0355,oant
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,3,39.46,313495,0.1838,oant
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,4,37.56,356405.99,0.209,oant
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,5,33.6,53991,0.0317,oant
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,6,28.93,9390.01,0.0055,oant
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,7,25.09,23054,0.0135,oant
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,8,23.46,80149.21,0.047,oant
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,9,21.4,265591,0.1557,oant
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,10,19.77,132359.8,0.0776,oant
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,11,18.3,22728.8,0.0133,lpdaC
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,12,8.194,180704.66,0.1059,lpda
20150114-gel1,20150114-gel1-10,21N3S2,107-21N3S2,T,N,N3,21,13,7.355,48812.89,0.0286,lpda
20150114-gel1,20150114-gel1-11,21N3S3,108-21N3S3,T,N,N3,21,1,69.08,76902,0.1377,oant
20150114-gel1,20150114-gel1-11,21N3S3,108-21N3S3,T,N,N3,21,2,41.52,70902.68,0.1269,oant
20150114-gel1,20150114-gel1-11,21N3S3,108-21N3S3,T,N,N3,21,3,39.62,133706.13,0.2394,oant
20150114-gel1,20150114-gel1-11,21N3S3,108-21N3S3,T,N,N3,21,4,31.38,NA,NA,oant
20150114-gel1,20150114-gel1-11,21N3S3,108-21N3S3,T,N,N3,21,5,28.34,NA,NA,oant
20150114-gel1,20150114-gel1-11,21N3S3,108-21N3S3,T,N,N3,21,6,22.58,157455.25,0.2819,oant
20150114-gel1,20150114-gel1-11,21N3S3,108-21N3S3,T,N,N3,21,7,19.33,45997.29,0.0823,oant
20150114-gel1,20150114-gel1-11,21N3S3,108-21N3S3,T,N,N3,21,8,17.94,21298.49,0.0381,lpdaC
20150114-gel1,20150114-gel1-11,21N3S3,108-21N3S3,T,N,N3,21,9,8.516,67414.11,0.1207,lpda
20150525-gel1,20150525-gel1-03,7803-A,101-7803-A,A,A,NA,0,1,61.38,44.05,0.0078,oant
20150525-gel1,20150525-gel1-03,7803-A,101-7803-A,A,A,NA,0,2,45.75,31,0.0019,oant
20150525-gel1,20150525-gel1-03,7803-A,101-7803-A,A,A,NA,0,3,40.7,90.58,0.0106,oant
20150525-gel1,20150525-gel1-03,7803-A,101-7803-A,A,A,NA,0,4,38.1,32.55,0.0041,oant
20150525-gel1,20150525-gel1-03,7803-A,101-7803-A,A,A,NA,0,5,26.12,546.47,0.1615,oant
20150525-gel1,20150525-gel1-03,7803-A,101-7803-A,A,A,NA,0,6,16.76,451.03,0.086,lpdaC
20150525-gel1,20150525-gel1-03,7803-A,101-7803-A,A,A,NA,0,7,15.6,321.44,0.0534,lpda
20150525-gel1,20150525-gel1-03,7803-A,101-7803-A,A,A,NA,0,8,7.867,736.74,0.2957,lpda
20150525-gel1,20150525-gel1-03,7803-A,101-7803-A,A,A,NA,0,9,5.289,716.62,0.379,lpda
20150525-gel1,20150525-gel1-04,01N3S3,102-01N3S3,C,N,N3,1,1,47,137.69,0.0221,oant
20150525-gel1,20150525-gel1-04,01N3S3,102-01N3S3,C,N,N3,1,2,36.43,120.04,0.0196,oant
20150525-gel1,20150525-gel1-04,01N3S3,102-01N3S3,C,N,N3,1,3,26.12,604.05,0.1725,oant
20150525-gel1,20150525-gel1-04,01N3S3,102-01N3S3,C,N,N3,1,4,16.67,537.29,0.1095,lpdaC
20150525-gel1,20150525-gel1-04,01N3S3,102-01N3S3,C,N,N3,1,5,15.69,466.36,0.0877,lpda
20150525-gel1,20150525-gel1-04,01N3S3,102-01N3S3,C,N,N3,1,6,11.16,1.8903,NA,lpda
20150525-gel1,20150525-gel1-04,01N3S3,102-01N3S3,C,N,N3,1,7,8.044,1133.26,0.4157,lpda
20150525-gel1,20150525-gel1-04,01N3S3,102-01N3S3,C,N,N3,1,8,5.2,592.88,0.1764,lpda
20150525-gel1,20150525-gel1-05,01P5S1,103-01P5S1,C,P,P5,1,1,40.33,59.27,0.0276,oant
20150525-gel1,20150525-gel1-05,01P5S1,103-01P5S1,C,P,P5,1,2,26.53,99.57,0.0681,oant
20150525-gel1,20150525-gel1-05,01P5S1,103-01P5S1,C,P,P5,1,3,16.76,339.73,0.1897,lpdaC
20150525-gel1,20150525-gel1-05,01P5S1,103-01P5S1,C,P,P5,1,4,15.69,180.64,0.0769,lpda
20150525-gel1,20150525-gel1-05,01P5S1,103-01P5S1,C,P,P5,1,5,11.24,135.64,0.0708,lpda
20150525-gel1,20150525-gel1-05,01P5S1,103-01P5S1,C,P,P5,1,6,9.556,398.59,0.1282,lpda
20150525-gel1,20150525-gel1-05,01P5S1,103-01P5S1,C,P,P5,1,7,8.133,303.26,0.2294,lpda
20150525-gel1,20150525-gel1-05,01P5S1,103-01P5S1,C,P,P5,1,8,5.378,203.28,0.2093,lpda
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,1,65.13,590.32,0.0754,oant
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,2,38.84,1866.87,0.2953,oant
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,3,31.6,658.35,0.0852,oant
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,4,27.46,361.22,0.019,oant
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,5,24.07,566.64,0.0561,oant
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,6,19.75,977.61,0.1232,oant
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,7,15.24,762.35,0.0563,lpdaC
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,8,14,428.99,0.0169,lpda
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,9,9.733,1340.91,0.062,lpda
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,10,8.933,1162.93,0.0326,lpda
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,11,8.133,1526.02,0.135,lpda
20150525-gel1,20150525-gel1-06,21N5S5,112-21N5S5,T,N,N5,21,12,5.2,368.26,0.0431,lpda
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,1,83.25,511.24,0.1285,oant
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,2,78.88,598.34,0.0907,oant
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,3,73.25,526.92,0.0558,oant
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,4,67.63,326.8,0.0688,oant
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,5,60.13,77.95,0.0123,oant
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,6,33.46,92.77,0.0141,oant
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,7,30.11,270.23,0.0391,oant
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,8,27.05,425.04,0.0684,oant
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,9,22.73,173.7,0.0221,oant
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,10,20.78,560.08,0.1224,oant
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,11,17.11,627.66,0.1035,lpdaC
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,12,9.556,529.54,0.099,lpda
20150525-gel1,20150525-gel1-07,21P2S2,114-21P2S2,T,P,P2,21,13,8.578,691.39,0.1756,lpda
20150525-gel1,20150525-gel1-08,21P3S3,121-21P3S3,C,P,P3,21,1,41.26,492.94,0.1058,oant
20150525-gel1,20150525-gel1-08,21P3S3,121-21P3S3,C,P,P3,21,2,38.84,342.08,0.0691,oant
20150525-gel1,20150525-gel1-08,21P3S3,121-21P3S3,C,P,P3,21,3,30.11,54.99,0.0111,oant
20150525-gel1,20150525-gel1-08,21P3S3,121-21P3S3,C,P,P3,21,4,26.94,80.79,0.021,oant
20150525-gel1,20150525-gel1-08,21P3S3,121-21P3S3,C,P,P3,21,5,20.67,263.67,0.08,oant
20150525-gel1,20150525-gel1-08,21P3S3,121-21P3S3,C,P,P3,21,6,16.76,220.05,0.1228,lpdaC
20150525-gel1,20150525-gel1-08,21P3S3,121-21P3S3,C,P,P3,21,7,9.644,530.66,0.1417,lpda
20150525-gel1,20150525-gel1-08,21P3S3,121-21P3S3,C,P,P3,21,8,8.578,865.39,0.384,lpda
20150525-gel1,20150525-gel1-08,21P3S3,121-21P3S3,C,P,P3,21,9,5.022,156.3,0.0646,lpda
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,1,70.13,552.42,0.1373,oant
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,2,65.13,525.56,0.0859,oant
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,3,59.5,378.88,0.0708,oant
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,4,51.38,227.87,0.0401,oant
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,5,42,519.97,0.0952,oant
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,6,39.03,286.19,0.0482,oant
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,7,27.36,57.2,0.0088,oant
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,8,20.78,423.88,0.1289,oant
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,9,17.47,308.93,0.0459,lpdaC
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,10,16.4,295.09,0.051,lpda
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,11,9.644,480.29,0.0888,lpda
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,12,8.667,667.94,0.1698,lpda
20150525-gel1,20150525-gel1-09,21P4S3,117-21P4S3,T,P,P4,21,13,4.933,98.65,0.0294,lpda
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,1,82,1472,0.1219,oant
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,2,77.63,1754.77,0.0877,oant
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,3,72.63,2038.51,0.0737,oant
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,4,66.38,2133.77,0.0853,oant
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,5,59.5,1711.81,0.0617,oant
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,6,52.63,1151.55,0.042,oant
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,7,40.7,736.57,0.0705,oant
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,8,33.27,731.34,0.051,oant
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,9,29.37,552.48,0.0273,oant
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,10,22.42,477.57,0.0223,oant
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,11,20.57,751.22,0.0649,oant
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,12,17.64,240.78,0.0102,lpdaC
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,13,15.87,348.29,0.0161,lpda
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,14,14.44,116.26,0.003,lpda
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,15,11.78,103.17,0.0035,lpda
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,16,9.822,1020.78,0.0482,lpda
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,17,8.489,1419.4,0.1304,lpda
20150525-gel1,20150525-gel1-10,21P4S5,118-21P4S5,T,P,P4,21,18,5.556,1011.65,0.0801,lpda
20150525-gel1,20150525-gel1-11,21P5S1,119-21P5S1,T,P,P5,21,1,43.25,363.6,0.1923,oant
20150525-gel1,20150525-gel1-11,21P5S1,119-21P5S1,T,P,P5,21,2,40.33,300.26,0.162,oant
20150525-gel1,20150525-gel1-11,21P5S1,119-21P5S1,T,P,P5,21,3,31.79,54.95,0.025,oant
20150525-gel1,20150525-gel1-11,21P5S1,119-21P5S1,T,P,P5,21,4,28.18,67.06,0.0273,oant
20150525-gel1,20150525-gel1-11,21P5S1,119-21P5S1,T,P,P5,21,5,21.7,284.33,0.1797,oant
20150525-gel1,20150525-gel1-11,21P5S1,119-21P5S1,T,P,P5,21,6,18.1,317.82,0.1875,oant
20150525-gel1,20150525-gel1-11,21P5S1,119-21P5S1,T,P,P5,21,7,10,391.54,0.162,lpda
20150525-gel1,20150525-gel1-11,21P5S1,119-21P5S1,T,P,P5,21,8,4.667,110.38,0.0643,lpda
20150525-gel1,20150525-gel1-12,21P5S3,120-21P5S3,T,P,P5,21,1,43.25,412.63,0.2705,oant
20150525-gel1,20150525-gel1-12,21P5S3,120-21P5S3,T,P,P5,21,2,33.27,199.95,0.0731,oant
20150525-gel1,20150525-gel1-12,21P5S3,120-21P5S3,T,P,P5,21,3,29.19,271.07,0.0892,oant
20150525-gel1,20150525-gel1-12,21P5S3,120-21P5S3,T,P,P5,21,4,22.83,327.48,0.138,oant
20150525-gel1,20150525-gel1-12,21P5S3,120-21P5S3,T,P,P5,21,5,19.23,438.9,0.1594,oant
20150525-gel1,20150525-gel1-12,21P5S3,120-21P5S3,T,P,P5,21,6,9.644,564.37,0.2319,lpda
20150525-gel1,20150525-gel1-12,21P5S3,120-21P5S3,T,P,P5,21,7,5.111,88.1,0.0378,lpda
20150525-gel2,20150525-gel2-03,01N3S2,201-01N3S2,C,N,N3,1,1,16.38,62,1,lpdaC
20150525-gel2,20150525-gel2-04,19N1S4,202-19N1S4,C,N,N1,19,1,39.23,89.7,0.3708,oant
20150525-gel2,20150525-gel2-04,19N1S4,202-19N1S4,C,N,N1,19,2,36.46,77.9,0.248,oant
20150525-gel2,20150525-gel2-04,19N1S4,202-19N1S4,C,N,N1,19,3,19.93,51.26,0.1704,oant
20150525-gel2,20150525-gel2-04,19N1S4,202-19N1S4,C,N,N1,19,4,15.52,81.79,0.2109,lpda
20150525-gel2,20150525-gel2-05,01N3S4,203-01N3S4,C,N,N3,1,1,16.76,94.86,1,lpdaC
20150525-gel2,20150525-gel2-06,01P5S5,204-01P5S5,C,P,P5,1,1,16.86,28.94,1,lpdaC
20150525-gel2,20150525-gel2-07,19P2S4,205-19P2S4,T,P,P2,19,1,66,131.01,0.3721,oant
20150525-gel2,20150525-gel2-07,19P2S4,205-19P2S4,T,P,P2,19,2,63.2,150.93,0.071,oant
20150525-gel2,20150525-gel2-07,19P2S4,205-19P2S4,T,P,P2,19,3,60.4,157.75,0.0111,oant
20150525-gel2,20150525-gel2-07,19P2S4,205-19P2S4,T,P,P2,19,4,56.4,126.41,0.0774,oant
20150525-gel2,20150525-gel2-07,19P2S4,205-19P2S4,T,P,P2,19,5,52,79.27,0.0898,oant
20150525-gel2,20150525-gel2-07,19P2S4,205-19P2S4,T,P,P2,19,6,47.2,42.63,0.0528,oant
20150525-gel2,20150525-gel2-07,19P2S4,205-19P2S4,T,P,P2,19,7,28.27,13.41,0.0016,oant
20150525-gel2,20150525-gel2-07,19P2S4,205-19P2S4,T,P,P2,19,8,22.13,46.46,0.0597,oant
20150525-gel2,20150525-gel2-07,19P2S4,205-19P2S4,T,P,P2,19,9,20.38,125.84,0.1418,oant
20150525-gel2,20150525-gel2-07,19P2S4,205-19P2S4,T,P,P2,19,10,17.05,112.39,0.1227,lpdaC
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,1,94.8,416.01,0.0574,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,2,64.4,787.35,0.1057,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,3,60.8,1219.86,0.1191,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,4,56.8,1473.3,0.1744,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,5,53.6,1502.43,0.2097,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,6,48.4,870.07,0.0568,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,7,43.2,432.69,0.0444,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,8,40.72,319.41,0.035,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,9,37.74,185.68,0.031,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,10,25.79,132.46,0.0185,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,11,24.23,206.4,0.0269,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,12,22.4,351.16,0.0424,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,13,21.48,328.22,0.0707,oant
20150525-gel2,20150525-gel2-08,19P5S3,206-19P5S3,T,P,P5,19,14,17.24,82.72,0.008,lpdaC
20150525-gel2,20150525-gel2-09,19P5S1,207-19P5S1,T,P,P5,19,1,61.6,85.6,0.7557,oant
20150525-gel2,20150525-gel2-09,19P5S1,207-19P5S1,T,P,P5,19,2,21.02,44.78,0.168,oant
20150525-gel2,20150525-gel2-09,19P5S1,207-19P5S1,T,P,P5,19,3,17.62,33.47,0.0763,lpdaC
20150525-gel2,20150525-gel2-10,01P2S1,208-01P2S1,C,P,P2,1,1,17.9,79.06,1,lpdaC
20150525-gel2,20150525-gel2-11,19N5S2,209-19N5S2,T,N,N5,19,1,92.4,61.81,0.0167,oant
20150525-gel2,20150525-gel2-11,19N5S2,209-19N5S2,T,N,N5,19,2,81.2,221.74,0.0896,oant
20150525-gel2,20150525-gel2-11,19N5S2,209-19N5S2,T,N,N5,19,3,60.8,264.12,0.125,oant
20150525-gel2,20150525-gel2-11,19N5S2,209-19N5S2,T,N,N5,19,4,42.8,756.91,0.192,oant
20150525-gel2,20150525-gel2-11,19N5S2,209-19N5S2,T,N,N5,19,5,40.3,823.54,0.2248,oant
20150525-gel2,20150525-gel2-11,19N5S2,209-19N5S2,T,N,N5,19,6,34.33,73.17,0.0244,oant
20150525-gel2,20150525-gel2-11,19N5S2,209-19N5S2,T,N,N5,19,7,25.7,63.68,0.0206,oant
20150525-gel2,20150525-gel2-11,19N5S2,209-19N5S2,T,N,N5,19,8,23.5,179.28,0.0378,oant
20150525-gel2,20150525-gel2-11,19N5S2,209-19N5S2,T,N,N5,19,9,21.48,421.04,0.2137,oant
20150525-gel2,20150525-gel2-11,19N5S2,209-19N5S2,T,N,N5,19,10,17.05,152.58,0.0553,lpdaC
20150525-gel2,20150525-gel2-12,19N2S1,210-19N2S1,T,N,N2,19,1,42,159.99,0.1603,oant
