Gel.dat,Gel,lim,cID,Sample,lane,Band,MW,Band Int.,Rel. Int.
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S2,3: 26-19N3S2,6,13737.2,47.41,0.0816
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S2,3: 26-19N3S2,7,11810.2,46.81,0.2167
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S5,4: 27-19N3S5,1,41885.5,264.73,0.1997
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S5,4: 27-19N3S5,2,41801.2,294.79,0.2117
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S5,4: 27-19N3S5,3,41716.9,209.85,0.1351
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S5,4: 27-19N3S5,4,41644.6,155.19,0.1002
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S5,4: 27-19N3S5,5,41566.3,96.4,0.0656
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S5,4: 27-19N3S5,6,17970.8,72.36,0.0335
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S5,4: 27-19N3S5,7,17357.7,26.45,0.0133
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S5,4: 27-19N3S5,8,15985.4,85.95,0.1515
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S5,4: 27-19N3S5,9,14379.6,17.35,0.0136
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S5,4: 27-19N3S5,10,13795.6,70.58,0.057
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S5,4: 27-19N3S5,11,12160.6,26.84,0.0187
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,01N5S2,5: 28-01N5S2,1,18000,43.44,0.1902
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,01N5S2,5: 28-01N5S2,2,14496.4,151.58,0.4885
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,01N5S2,5: 28-01N5S2,3,12189.8,46.41,0.1638
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,01N5S2,5: 28-01N5S2,4,11313.9,35.44,0.1575
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,1,59454.5,288.26,0.0309
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,2,41650.6,1207.25,0.1054
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,3,41584.3,3720.4,0.2888
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,4,40979.2,3872.23,0.3062
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,5,30041.7,336.59,0.0302
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,6,27625,271.66,0.0228
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,7,24600,268.95,0.0212
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,8,21162.5,226,0.0226
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,9,18825,425.68,0.0359
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,10,17562,476.04,0.0523
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,11,16744.5,520.86,0.067
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,12,15897.8,151.6,0.0117
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,13,14408.8,1.6311,0
